iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3
0,9.19748935376964,0.042809749851116796,0.20772195904282853,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,9.19748935376964,0.04280979798216119,0.35015679203206673,64.7521497736481,1.0000000000000006e-06,1.2499977639343018,1.2500022360676066,1.2499977639343203,1.2499977639343092
2,9.197494898287454,0.042809854776704556,0.3122432500240393,64.75183919151337,1.1800000000000006e-06,1.2499951253793344,1.2500048746306136,1.2499951253791979,1.2499951253789088
3,9.197501440810548,0.042809920234702356,0.0031347500043921173,64.75150637627576,1.3600000000000005e-06,1.2499920843364076,1.2500079156911985,1.2499920843355348,1.2499920843345154
4,9.19750898133434,0.042809994356099466,0.002937332959845662,64.7510540399037,1.5400000000000005e-06,1.2499886408070422,1.2500113592524127,1.2499886408043634,1.2499886408017455
5,9.19751751985289,0.042810077140833076,0.0032447080011479557,64.75057518384037,1.7200000000000005e-06,1.249984794792977,1.2500152053184888,1.2499847947861902,1.2499847947811695
6,9.197527056358743,0.04281016858887899,0.006485291989520192,64.750050026287,1.9000000000000004e-06,1.2499805462941316,1.2500194538958502,1.249980546280004,1.2499805462710591
7,9.197537590848697,0.04281026870011843,0.002986083971336484,64.74948944611943,2.0800000000000004e-06,1.2499758953147084,1.2500241049877359,1.2499758952886177,1.2499758952736721
8,9.197549123308747,0.04281037747445792,0.002772000036202371,64.74881187454208,2.2600000000000004e-06,1.249970841857109,1.2500291586017296,1.2499708418124438,1.2499708417888649
9,9.197561653726352,0.04281049491178755,0.0029767079977318645,64.7481144287774,2.440000000000001e-06,1.2499653859249724,1.250034614743922,1.2499653858530921,1.249965385817219
10,9.197575182087235,0.0428106210120482,0.0032716660061851144,64.74736257478409,2.6200000000000003e-06,1.2499595275191118,1.250040473425093,1.2499595274090338,1.2499595273559785
11,9.197589708381994,0.04281075577510399,0.0031633329926989973,64.74654935461726,2.8000000000000003e-06,1.249953266643627,1.2500467346547568,1.2499532664812938,1.2499532664050348
12,9.197605232591904,0.042810899200858926,0.002990041975863278,64.74568349909059,2.9800000000000003e-06,1.2499466033008146,1.2500533984451994,1.249946603068751,1.2499466029618687
13,9.197621754701863,0.042811051289157,0.002827499993145466,64.74475806484493,3.1600000000000002e-06,1.2499395374952398,1.2500604648088285,1.2499395371719513,1.2499395370255677
14,9.197639274689038,0.04281121203983717,0.002758582995738834,64.74377858511184,3.340000000000001e-06,1.249932069231702,1.2500679337586376,1.2499320687917579,1.2499320685946684
15,9.19765779252914,0.0428113814527749,0.0027839160175062716,64.74275049536045,3.520000000000001e-06,1.2499241985132044,1.2500758053111745,1.2499241979264095,1.2499241976652693
16,9.197677308201616,0.04281155952784493,0.002808333025313914,64.74166018028009,3.700000000000001e-06,1.2499159253429983,1.2500840794842125,1.2499159245734293,1.2499159242328675
17,9.197697821684844,0.04281174626483846,0.0030972089734859765,64.74050810366167,3.880000000000001e-06,1.2499072497266017,1.2500927562969928,1.2499072487329492,1.249907248294466
18,9.197719332945509,0.04281194166362068,0.0035286250058561563,64.73931362865619,4.060000000000002e-06,1.2498981716677513,1.2501018357695157,1.2498981704020287,1.2498981698443914
19,9.197741841959457,0.04281214572398232,0.003220749960746616,64.73805816890193,4.240000000000001e-06,1.2498886911724598,1.2501113179233403,1.2498886895793535,1.2498886888784928
20,9.197765348691725,0.04281235844573555,0.00336608401266858,64.73674635788416,4.420000000000001e-06,1.2498788082459682,1.2501212027817017,1.2498788062624913,1.249878805390942
21,9.197789853109658,0.04281257982866501,0.0030973749817349017,64.73537788527278,4.600000000000001e-06,1.2498685228937658,1.2501314903711895,1.2498685204486704,1.24986851937527
22,9.197815355174711,0.042812809872537404,0.0029808750259689987,64.73395575054555,4.78e-06,1.2498578351226082,1.2501421807177453,1.2498578321359994,1.2498578308252806
23,9.197841854846487,0.042813048577167695,0.0029406669782474637,64.73247306637505,4.96e-06,1.2498467449364479,1.2501532738532986,1.2498467413185013,1.2498467397312434
