k,l2o,ldro_pep,lpep,l2o_alista
1,23.097067244111788,22.314765674892676,22.381198639709663,22.018044499696103
2,10.656971957537378,10.284827276639433,13.311254874990986,13.313871627333244
3,6.643897649666243,7.956153467218472,9.854510543334912,9.709544205865624
4,4.347080818749723,4.005813307645162,7.844218848926229,7.609688805993493
5,2.925702039113351,2.9421718515864934,6.6765320040642875,6.105834347995905
6,1.9705032872757804,2.80814435266158,5.690370498861283,4.960572580752297
7,1.3417960783326128,2.6636347588856224,4.937014762381646,4.059881788193107
8,0.9098830277817249,2.316843868939516,4.254234601925338,3.3373029672059826
9,0.6222772301324704,1.9899275886433607,3.5361695312983117,2.751129489620426
10,0.42649139052415797,1.6529895658363358,3.0749134113680956,2.272498567288848
