k,l2o,ldro_pep,lpep,l2o_alista
1,51.15492512649512,49.478016665824576,51.80780324088093,50.46090865885478
2,25.462215755280145,27.4713804589142,29.895286263782626,29.84274193973544
3,19.172596473054334,53.02288900944616,22.219804931533094,22.014797715038647
4,16.802426857484235,25.784322516093862,18.303058216462382,17.887396061602065
5,19.47637705609518,15.004067274747264,16.125086547228292,15.06412473018844
6,28.465342709629724,11.965900674794828,14.282561381723928,12.900470765944318
7,73.0538728169947,10.166925849815918,12.851044048616231,11.14945782073137
8,255.34738604732289,8.27432884867137,11.525848513051546,9.69431709597753
9,1138.2381895362262,7.297762501253869,10.09428515514548,8.46352189414915
10,5438.131816140287,6.341596952982916,9.142772409724872,7.408792745070742
