k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2462285554375313,0.262631850663945,0.3314154814058691,0.3207927459710706
2,0.6680229027642809,0.7707408855663506,0.3111887511930435,0.319659462405855
3,0.6281130105624144,1.0803690091125642,0.3001986155076561,0.3203090010282435
4,0.6396045678068626,0.3561355559128796,0.298338966455773,0.3207378614132016
5,0.63445208700016,0.3456291895467631,0.2327930694589635,0.3208214906740006
6,0.6330783122253653,0.0642193935588043,0.2419348005295931,0.320727207077081
7,0.6248508264695162,0.0787401193149815,0.2227129381365613,0.3205552409970982
8,0.6187240253899923,0.2196844638600604,0.2386148278892594,0.3203398992539856
9,0.607508438372258,0.2490198388301984,0.2999074177646184,0.3200846513562834
10,0.5988896471639511,0.3062480497192232,0.2318063456880189,0.319826841431644
