k,l2o,ldro_pep,lpep,l2o_alista
1,23.11243084570863,22.34326814873094,22.565124223809956,22.16738831481085
2,10.673715536655461,10.36252529905475,13.338955676357205,13.339197775324799
3,6.671244703879534,8.455664581426458,9.85254844064324,9.709302643593082
4,4.381339198571615,4.155359030755298,7.8490509263734705,7.6159250571042305
5,2.972167768610783,2.9941237658613313,6.687771159603092,6.119148434762578
6,2.013336775952074,2.84926944151717,5.705421138116797,4.978301539564065
7,1.3931075154740422,2.697831685347944,4.9548328718678185,4.080020385875188
8,0.9476596802966869,2.342854433425378,4.27380705834943,3.3586715245958194
9,0.6605804634493948,2.0131415639685715,3.5573944628965397,2.7722709375728796
10,0.45018707962061494,1.6732114323482725,3.09644462247182,2.2918349845293995
