K,obj,val,solvetime
1,obj_val,61.266135105729795,0.001029332
2,obj_val,36.75968082779911,0.000669762
3,obj_val,26.25691503581076,0.000534941
4,obj_val,20.4220447567257,0.000872912
5,obj_val,16.708945668292223,0.001176702
6,obj_val,14.13833855621889,0.001941714
7,obj_val,12.253226980399074,0.002719306
8,obj_val,10.811670454783956,0.0040083
9,obj_val,9.673599761642047,0.005963725
10,obj_val,8.752304926622775,0.007293248
11,obj_val,7.991234793880639,0.009774455
12,obj_val,7.351933132432975,0.159701292
13,obj_val,6.807348262788776,0.085250265
14,obj_val,6.33787551762594,0.089430416
15,obj_val,5.928980490837317,0.132502105
16,obj_val,5.569648052593185,0.198672371
17,obj_val,5.251382729603941,0.1979915
18,obj_val,4.967524377616192,0.225330255
19,obj_val,4.712778422271036,0.183112402
20,obj_val,4.482886220768884,0.203979685
21,obj_val,4.274381063418543,0.266941664
22,obj_val,4.084408343334268,0.3209537
23,obj_val,3.9105992414434896,0.329685821
24,obj_val,3.750980729913357,0.436898193
25,obj_val,3.6038896213426947,0.50303481
26,obj_val,3.4678943772170245,0.60598524
27,obj_val,3.3417867827206336,0.541872607
28,obj_val,3.22453329992806,0.714985884
29,obj_val,3.11522698539568,0.719664556
30,obj_val,3.013088426918463,0.893396854
31,obj_val,2.9174344362843376,0.920693724
32,obj_val,2.8276672282696778,1.177485582
33,obj_val,2.743259561392116,1.186274464
34,obj_val,2.6637444006735143,1.806304319
35,obj_val,2.5887093024079637,1.576161177
36,obj_val,2.517785686916053,1.750118316
37,obj_val,2.450644683819648,1.7437163199999999
38,obj_val,2.386992162967714,2.09222511
39,obj_val,2.3265619289269432,4.748498979
40,obj_val,2.2691158986002877,4.876741383
41,obj_val,2.214437922262059,5.319323556
42,obj_val,2.1623338797992977,6.751963051
43,obj_val,2.1126240896623405,4.937206441
44,obj_val,2.0651499988997553,6.067675392
45,obj_val,2.019761908403911,6.854441296
46,obj_val,1.9763265020350753,8.495340406
47,obj_val,1.9347197514601895,9.777948951
48,obj_val,1.894828827741883,8.725563919
49,obj_val,1.8565494631266868,9.575814807
50,obj_val,1.8197850664261925,8.154434802
