iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0.04469748695327097,0.011458027723165416,0.4587711250060238,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.041633493290383426,0.01145799344347373,0.16013237502193078,0.02801568713757338,9.999999999999972e-07,1.250002236068688,1.2500022360679695,1.2500022360671732,1.2500022360662373,1.2500022360650862,1.2500022360636043,1.250002236061586,1.2500022360586223,1.250002236053763,1.2500022360441545,1.2500022360155363
2,0.044755081774648924,0.011457891158105181,0.16293504199711606,0.02995606679590278,2.980000000000002e-06,1.2500089070570073,1.250008907332357,1.250008907926153,1.250008908278818,1.250008908463832,1.2500089085505974,1.2500089085786859,1.2500089085698451,1.2500089085344201,1.2500089084701969,1.250008908328382
3,0.04086604303010702,0.011457721306643536,0.002545792027376592,0.028229660785727747,4.960000000000007e-06,1.2500199957906946,1.2500199960771405,1.25001999492593,1.2500199929756157,1.2500199907001808,1.2500199883072831,1.2500199858794376,1.250019983446994,1.2500199810149184,1.25001997856303,1.2500199759694868
4,0.04157048400153479,0.011457483699780415,0.002594541001599282,0.02870002162143189,6.939999999999998e-06,1.2500355135144658,1.250035509312519,1.250035504754879,1.250035499261597,1.2500354934127444,1.2500354874938258,1.2500354816033687,1.2500354757650924,1.2500354699682463,1.2500354641634948,1.2500354581239292
5,0.041212036531565646,0.011457178776313465,0.002510333026293665,0.027724373784423873,8.919999999999989e-06,1.2500554293908532,1.2500554132873547,1.2500554034081737,1.2500553942272103,1.2500553852434646,1.2500553765339162,1.2500553681109425,1.2500553599420015,1.2500553519706743,1.2500553440947433,1.2500553359415612
6,0.04233770460328977,0.011456805980328302,0.0024247500114142895,0.028225900801669486,1.0899999999999994e-05,1.2500797565154615,1.2500797387150062,1.2500797261993357,1.2500797150440113,1.2500797046553833,1.2500796950532125,1.2500796861461865,1.2500796777999157,1.250079669870064,1.2500796621654222,1.2500796541184653
7,0.03983895108036939,0.011456366345325436,0.002509750018361956,0.027492639278027396,1.2879999999999999e-05,1.2501084700518421,1.2501084351906364,1.25010841714234,1.2501084020215847,1.250108387944586,1.2501083748058337,1.2501083624955625,1.2501083508611686,1.2501083397292716,1.2501083288536414,1.2501083174681475
8,0.04275709491769266,0.01145585797990256,0.002660707978066057,0.029077672894316457,1.4860000000000003e-05,1.250141653112459,1.250141610152471,1.2501415909712175,1.250141574727605,1.2501415589854883,1.2501415437876302,1.2501415291370273,1.2501415149354165,1.2501415010246553,1.25014148713001,1.2501414722834225
9,0.04197648374131179,0.011455281543764755,0.0024289159919135273,0.028418190859224084,1.6840000000000008e-05,1.2501792666686573,1.2501792047406526,1.2501791932678294,1.250179183708088,1.250179172250529,1.250179159644563,1.2501791464801388,1.2501791330093068,1.2501791192588554,1.250179105016281,1.2501790891374727
10,0.04408267008637439,0.011454636145954619,0.002656291995663196,0.029227246896772807,1.8819999999999986e-05,1.2502213769640875,1.2502212800777335,1.2502212774030443,1.2502212793153498,1.250221278295853,1.250221274975073,1.2502212701548803,1.2502212642614339,1.2502212574249596,1.2502212494568843,1.2502212390002572
11,0.042897525139541384,0.011453922011567834,0.0024638749891892076,0.028986210989283487,2.079999999999999e-05,1.250267943418851,1.2502678361958783,1.2502678500542508,1.250267867316666,1.2502678789467971,1.250267886131331,1.2502678902038755,1.250267891958393,1.2502678917604924,1.25026788953721,1.2502678837636851
12,0.04325669573345112,0.011453138937175613,0.0024758329964242876,0.029257410778781735,2.2779999999999995e-05,1.25031899630266,1.2503188930333868,1.2503189270577766,1.250318961622022,1.2503189869040832,1.250319004955065,1.2503190178297827,1.2503190268167248,1.2503190326058573,1.2503190353025373,1.250319033240041
13,0.04296181600847916,0.011452286505450117,0.0025940840132534504,0.02937273975696044,2.476e-05,1.2503745363168595,1.250374467149385,1.250374531217465,1.2503745880750425,1.2503746305809578,1.250374662506299,1.2503746868247643,1.250374705335783,1.2503747190258976,1.2503747281447348,1.2503747308357587
14,0.04043229279452665,0.011451369997620756,0.0024212499847635627,0.02762202269654854,2.6740000000000005e-05,1.2504343973787941,1.2504343149692214,1.250434373379605,1.2504344254371589,1.2504344630684778,1.2504344901605222,1.2504345098312812,1.2504345239380898,1.2504345334492775,1.2504345385123552,1.2504345368578915
15,0.040930341785223034,0.01145038747576614,0.0025006659561768174,0.028137244138542003,2.8719999999999996e-05,1.250498639955366,1.2504985183811779,1.2504985547663285,1.2504985897911507,1.25049861257468,1.2504986262994136,1.25049863383416,1.2504986368726556,1.2504986362184818,1.2504986318051436,1.250498620838551
16,0.03910403333182469,0.011449341503006255,0.002639917016495019,0.02769943978094676,3.07e-05,1.2505672378689159,1.2505669927216359,1.2505669618846622,1.2505669454268498,1.2505669228308478,1.250566894754232,1.2505668632433125,1.250566829614806,1.250566794401421,1.250566757244112,1.250566714731716
17,0.04416544698016419,0.011448223152194185,0.0024723330279812217,0.029850988921479967,3.2680000000000006e-05,1.2506404430720712,1.2506401313027364,1.250640060459739,1.2506400143846867,1.2506399658754639,1.250639913601764,1.250639858981397,1.2506398031026353,1.2506397463661905,1.2506396882458586,1.2506396248035812
18,0.03660577485227586,0.011447047554739447,0.0024785419809632003,0.025486977370846573,3.466000000000001e-05,1.2507175474367052,1.250717161435903,1.250717017706999,1.2507169019218345,1.25071678645863,1.2507166709605988,1.2507165573179102,1.2507164466273215,1.2507163390318998,1.2507162335775388,1.250716125486823
19,0.04582457362615825,0.011445796314353085,0.0025555419852025807,0.030336140951437975,3.664e-05,1.2507993854950434,1.2507990312338373,1.2507988597401232,1.2507987094531403,1.2507985578991876,1.250798406769005,1.2507982588961677,1.2507981157591888,1.2507979775775704,1.2507978432629594,1.2507977074317513
20,0.041866038810458917,0.011444478333226933,0.002444791025482118,0.02881863521439575,3.8620000000000006e-05,1.2508857616408076,1.2508853679228187,1.2508851271316572,1.2508849106505509,1.2508846975543262,1.250884490100676,1.2508842910809364,1.2508841015970922,1.250883921351839,1.2508837486574138,1.2508835771401277
21,0.04553648503192985,0.011443086682015534,0.00242266699206084,0.02972543002975302,4.0600000000000004e-05,1.2509767812716064,1.2509763657067148,1.2509760967415038,1.250975861802728,1.2509756343598941,1.2509754149952117,1.2509752060302386,1.2509750083637465,1.2509748215170173,1.2509746435482647,1.2509744673842462
22,0.04118685331448856,0.011441630007165004,0.002487958990968764,0.028246547769607302,4.2579999999999996e-05,1.2510721560871265,1.2510717095563877,1.2510713920385117,1.2510711158328958,1.2510708519885354,1.2510705999191383,1.2510703615059129,1.2510701373765996,1.2510699267849603,1.2510697274461793,1.251069531481573
23,0.04148294215501441,0.01144010670167561,0.0025163330137729645,0.027966344280224178,4.4559999999999993e-05,1.251171787048179,1.2511713316995279,1.2511710111813423,1.251170728475417,1.2511704538438149,1.2511701874460683,1.2511699323300074,1.2511696901163583,1.251169460764183,1.251169242385358,1.251169026836857
24,0.044676654670555926,0.011438509077760358,0.0025216249632649124,0.029606047642001587,4.654e-05,1.2512760477660756,1.2512756616131304,1.2512753926462905,1.251275154817097,1.2512749165496897,1.2512746787531857,1.2512744460543277,1.251274221524993,1.2512740062348988,1.2512737990283458,1.2512735917526638
25,0.03992706676427523,0.01143685282958154,0.0026659590075723827,0.02753635171634742,4.8519999999999996e-05,1.2513845584858934,1.2513840827817497,1.2513837488233344,1.2513834729053464,1.2513832092383768,1.2513829529029306,1.251382706132173,1.251382470836152,1.251382247382161,1.2513820340393003,1.251381821657206
26,0.04517180184815006,0.011435121377208916,0.0024480829597450793,0.02960358874586413,5.05e-05,1.251497713748831,1.2514972501648534,1.2514969252468766,1.2514966704746802,1.2514964317676214,1.2514962016056534,1.251495981579158,1.2514957734297134,1.2514955774275232,1.251495391662631,1.251495206243847
27,0.03904146571929756,0.011433332897854318,0.002403415972366929,0.0268446757880553,5.2480000000000006e-05,1.2516148225025048,1.2516143346037008,1.2516139692128698,1.251613687389407,1.2516134294009371,1.2516131853660832,1.2516129559170066,1.251612742225626,1.2516125440832966,1.251612359059142,1.2516121762044587
