iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8
0,0.052939664943929314,0.01543345816443953,0.08796116698067635,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,0.05371923538884719,0.015433414065028073,0.04538683302234858,0.036770399695326896,9.999999999999159e-07,1.2500022360852272,1.250002236084664,1.2500022360840046,1.250002236083171,1.250002236082045,1.250002236080399,1.250002236077706,1.250002236072388,1.2500022360565608
2,0.05099199565631457,0.015432491131106965,0.05064041697187349,0.03521366167491759,2.097999999999987e-05,1.2500491010951593,1.2500490695945397,1.2500490549549044,1.2500490417542809,1.250049029238809,1.2500490177507482,1.250049007444,1.2500489982987057,1.2500489900810194
3,0.05183808038650261,0.015430688243859068,0.00212770898360759,0.03573349655998016,4.095999999999993e-05,1.2501406016864383,1.250140553280554,1.2501405218650339,1.2501404888706389,1.2501404566417753,1.2501404268475673,1.2501404000182912,1.2501403760969088,1.2501403544092653
4,0.05392304624446092,0.015428001919270944,0.0023214160464704037,0.036698707646482934,6.0939999999999996e-05,1.2502768922599474,1.2502768240423745,1.2502767838931923,1.2502767491237106,1.2502767159915946,1.2502766847843483,1.2502766559160485,1.2502766294352694,1.2502766043918419
5,0.05010338760037419,0.015424446127313453,0.0024046250036917627,0.03456876868406171,8.091999999999984e-05,1.2504575583084598,1.2504573875122762,1.2504572620066143,1.2504571678837701,1.2504570906974357,1.2504570250221243,1.2504569684479363,1.2504569193874904,1.2504568752917304
6,0.05395357521166331,0.015420004614250351,0.0023328750394284725,0.036976318625311255,0.0001008999999999999,1.250683261323088,1.250682992461387,1.2506827558188331,1.250682593563205,1.2506824737034885,1.2506823795950133,1.2506823032648815,1.250682240183788,1.2506821854489896
7,0.05302759357934272,0.015414684335057136,0.002174166962504387,0.0362574604017001,0.00012087999999999997,1.2509538135007303,1.2509533511696032,1.2509529696486774,1.2509527238975633,1.250952554339442,1.2509524294618612,1.2509523341711857,1.250952260227245,1.2509521998047954
8,0.05137437476210299,0.015408489615627057,0.0021862080320715904,0.03637672280997251,0.00014085999999999992,1.2512693456823794,1.2512684775536072,1.2512678367304488,1.251267430397923,1.2512671501499382,1.2512669424644625,1.2512667815801979,1.2512666534672223,1.251266545932242
9,0.05285201271222582,0.015401413650993338,0.0021977919968776405,0.03591369489657108,0.00016083999999999998,1.2516293972342212,1.2516283631409724,1.2516275892601594,1.251627121403185,1.251626811099239,1.2516265875829302,1.251626417582622,1.251626283442519,1.2516261700271014
10,0.05069361886074339,0.015393468794204038,0.002243083028588444,0.03548790447175694,0.00018081999999999983,1.252033794581102,1.2520327596768488,1.2520318806121136,1.252031339507689,1.2520309742761233,1.252030704266698,1.252030491178077,1.252030314680573,1.2520301569618741
11,0.05419721886495365,0.01538462907433069,0.00214170798426494,0.03696351857922913,0.0002007999999999999,1.25248346068115,1.2524827060165293,1.2524819351439767,1.2524814543674392,1.2524811258506674,1.252480878386658,1.2524806778962252,1.2524805059860848,1.2524803444929458
12,0.055234854582520324,0.015374896678900778,0.002298958017490804,0.036868632850634804,0.00022077999999999996,1.2529783495530964,1.2529780922008988,1.2529776244803144,1.2529773692168542,1.252977222303787,1.2529771282307824,1.252977060661128,1.2529770052135856,1.2529769446143657
