iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
0,0.03882664886017235,0.0031301160151349433,7.545571570983157,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081
1,0.040749900445454394,0.003130081432052757,1.948314658133313,0.028228599584098235,9.999999999999159e-07,1.8873510877185653,1.8873510877175983,1.8873510877163415,1.8873510877144393,1.8873510877113389,1.8873510877059394,1.8873510876956996,1.887351087673524,1.8873510876117416,1.8873510872514416,1.0000069181992595e-06,0.28175452513165405,0.43404378278647954,0.5310648054103675,0.5987795940614254,0.6489243261269055,0.68764685401338,0.7185008534581387,0.7436920465915814,0.7646647176173081
2,0.04230354967940611,0.003129355029396238,3.0551013899967074,0.029401052290825715,2.097999999999987e-05,1.887408764034989,1.887408789824848,1.887408796935493,1.8874088025582816,1.8874088063192058,1.8874088083166258,1.8874088088453125,1.8874088079104614,1.8874088044742632,1.8874087929778947,2.199202693984204e-05,0.281775526516636,0.4340647863625318,0.5310858107029757,0.598800600573897,0.6489453334027421,0.6876678616732044,0.7185218611887669,0.7437130539950644,0.7646647176173081
3,0.04004358707333883,0.0031279402180070352,0.043940888019278646,0.02805827596882956,4.095999999999993e-05,1.8875212464886126,1.88752130221151,1.8875213212790671,1.8875213185470419,1.8875212995396355,1.8875212642159453,1.8875212091982985,1.8875211275927946,1.8875210083427352,1.8875208453331127,6.29239517001258e-05,0.28181647038596985,0.43410573095835847,0.5311267523208205,0.5988415361750967,0.6489862601076886,0.6877087764926908,0.7185627609368287,0.7437539353731785,0.7646647176173081
4,0.03705858247658352,0.003125855554663654,0.04265707801096141,0.026388206763317306,6.0939999999999996e-05,1.8876882470149796,1.887688125266212,1.8876878902775411,1.887687591005315,1.8876872541015874,1.8876868893129084,1.8876864947419945,1.887686054386918,1.887685534450963,1.8876849222608953,0.0001236694877765195,0.28187714495373756,0.43416631489820195,0.5311872398515203,0.5989019248589466,0.6490465500753891,0.6877689701852894,0.7186228629812863,0.7438139527407158,0.7646647176173081
5,0.04168656254900093,0.003123076016725215,0.043442643946036696,0.0288550767577138,8.091999999999984e-05,1.8879103559304256,1.8879101347907636,1.8879097167442176,1.8879091714764111,1.8879085542171488,1.8879078906928917,1.887907184132006,1.8879064122861884,1.8879055224738817,1.8879044952613455,0.00020447332699388574,0.2819579069908544,0.4342470080913702,0.5312678533011936,0.5989824525450466,0.6491269897263438,0.6878493225448746,0.718703131377523,0.7438941430300372,0.7646647176173081
6,0.040706258481588264,0.0031196081819187677,0.042803457006812096,0.02854371412438739,0.0001008999999999999,1.8881875854608738,1.888187232291043,1.8881866107596765,1.888185786050626,1.8881848382646187,1.888183806720908,1.88818269682599,1.888181474878902,1.8881800621197713,1.8881784430294282,0.00030531905828914453,0.28205870554086554,0.4343477299431408,0.5313684863292779,0.599082987840472,0.649227421520188,0.6879496478649636,0.7188033498284805,0.7439942570992654,0.7646647176173081
7,0.03402409939451655,0.003115523138364224,0.043266645167022943,0.02440304629300598,0.00012087999999999997,1.8885178568786394,1.888516772249218,1.8885151626222008,1.888513220497316,1.8885110798119373,1.8885088215864438,1.888506478929944,1.8885040192759506,1.8885013279685765,1.8884983969462155,0.0004253511499166718,0.28217846042331896,0.4344671269693513,0.5314875130470325,0.5992016376320346,0.6493456972076359,0.6880675637469871,0.7189209329075821,0.7441115487804304,0.7646647176173081
8,0.03703087647727793,0.003110784599902473,0.04297396494075656,0.025786953594299344,0.00014085999999999992,1.8889022076838342,1.8888996318052729,1.8888967085780826,1.8888934016778618,1.888889869321364,1.8888862278672438,1.8888825497055841,1.8888788279575377,1.8888749394927835,1.8888708560727574,0.0005649891662807274,0.28231754189844854,0.434605730291152,0.5316256532671331,0.5993393255126055,0.649482949211147,0.6882044087921781,0.7190574166983867,0.7442477366437392,0.7646647176173081
9,0.03477646560814363,0.0031054251588227915,0.04332080204039812,0.024794568689791855,0.00016083999999999998,1.8893399817874048,1.8893349632249021,1.8893300376584412,1.8893247245296787,1.8893191371734712,1.8893134117079833,1.8893076733050485,1.88930196944598,1.8892961940848956,1.8892903352578703,0.0007239525579500744,0.2824756035362973,0.4347630702103933,0.5317823055304532,0.5994953055717076,0.6496382750270714,0.6883591150064456,0.7192115647785227,0.7444014219842712,0.7646647176173081
10,0.0401081341052833,0.0030993513666024717,0.04305654484778643,0.027696692491107604,0.00018081999999999983,1.889832802793929,1.889826291571904,1.8898199565763558,1.8898131038386572,1.8898058584484663,1.8897984040711888,1.8897909387620375,1.8897835785563402,1.8897762434295329,1.8897689112393756,0.0009029631113170891,0.28265407506723755,0.4349410033759657,0.5319597058277912,0.599672166979983,0.6498145990521825,0.6885349231389739,0.7193869064804038,0.7445763791455022,0.7646647176173081
11,0.039916099010471016,0.003092579296317237,0.043156987987458706,0.02815419617515909,0.0002007999999999999,1.890381709079985,1.89037396176116,1.8903663867660379,1.8903581003733239,1.8903492236006398,1.8903399757660744,1.8903306153591188,1.8903213123701323,1.8903120037570222,1.8903027282221279,0.0011023622299323997,0.2828530448210538,0.43513948524806245,0.5321576909685813,0.5998696315577677,0.6500115254700438,0.6887313126796215,0.7195827878592705,0.7447718150452451,0.7646647176173081
12,0.0371329352537145,0.003085170615469785,0.042635976104065776,0.026255795005101036,0.00022077999999999996,1.8909850516460998,1.8909756557970436,1.89096613660722,1.8909557333783182,1.8909446326173953,1.8909331012729786,1.890921458088099,1.890909920845733,1.8908984251158452,1.8908870216976197,0.001321455710059431,0.2830715533623339,0.43535726273368175,0.5323747471213532,0.6000859688317367,0.6502271550638731,0.6889462663878279,0.7197971269461468,0.7449856369571464,0.7646647176173081
13,0.036702694173772636,0.0030771294643558164,0.04308475600555539,0.025865840897754094,0.0002407599999999999,1.8916419603677979,1.8916311618521,1.8916191430384757,1.8916059678851413,1.8915919732516082,1.8915775325496664,1.891563092880877,1.8915489883645034,1.891535198322279,1.8915217257301942,0.0015599446585440352,0.28330955586509915,0.43559434546419545,0.5326109055622291,0.6003212019859601,0.6504614833965296,0.6891797456395107,0.7200298575838656,0.7452177686509983,0.7646647176173081
14,0.04511794614991474,0.003068292074785176,0.04291939199902117,0.030527619136071313,0.00026074,1.8923575691117285,1.8923466895900778,1.8923336937364392,1.892319209421988,1.8923037457052256,1.8922877654389367,1.8922718161725174,1.892256327502739,1.892241320929991,1.892226705037591,0.0018199458587413557,0.28356957661443105,0.43585395340787864,0.5328700625447869,0.6005798787859195,0.6507196706171725,0.6894374622975205,0.7202871573983816,0.7454747420186072,0.7646647176173081
15,0.039130108260361104,0.003058794852675013,0.04485364491119981,0.027757523667402504,0.00028071999999999993,1.8931295148608422,1.893117544664176,1.893103201430641,1.8930871742836861,1.8930700465947559,1.89305230310005,1.8930345359009146,1.893017225026696,1.8930004025854408,1.892983957959807,0.0021004073349492666,0.28384971034573,0.43613357692874216,0.5331491666941454,0.6008584447935451,0.6509976883148116,0.689714940987886,0.7205641351275713,0.7457512920110526,0.7646647176173081
16,0.04137768919844311,0.0030485959273048005,0.04371560993604362,0.028246253744977592,0.0003007,1.8939581603582476,1.8939444163336752,1.8939290196601553,1.8939120115803991,1.8938939593964887,1.893875352667916,1.8938568196868082,1.8938388810710443,1.8938215666688965,1.8938045687760898,0.0024014650074284326,0.2841502503546511,0.43643371240375256,0.5334489451696763,0.6011578834198965,0.6512968072270968,0.690013774351637,0.7208627373508657,0.7460497392994003,0.7646647176173081
17,0.039425387467485085,0.0030377262186683,0.042783037992194295,0.027533672997921907,0.00032068000000000005,1.8948419176383708,1.8948262276727423,1.8948102509812956,1.894792748572537,1.8947741171949577,1.8947548150157056,1.8947355068427234,1.894716770025063,1.8946986604644502,1.8946807550984057,0.002722500338345326,0.28447077704091583,0.4367539687037257,0.5337689851232691,0.6014776960727742,0.6516163754452003,0.6903330938872332,0.7211818272475597,0.7463686467404188,0.7646647176173081
