iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8
0,0.039874552702309496,0.004101449688187046,0.6324289579642937,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832
1,0.04021583668922994,0.00410141887985572,0.24391954101156443,0.03128758868135309,9.999999999999972e-07,1.2500022360685406,1.2500022360680192,1.2500022360670973,1.250002236065485,1.2500022360625784,1.2500022360570393,1.250002236045245,1.250002236013231,1.250002235830141,9.999996187343647e-07,0.2817545251244077,0.4340437827791307,0.531064805402828,0.5987795940535261,0.6489243261182503,0.6876468540027572,0.7185008534392942,0.7436910466053832
2,0.038515569575512804,0.004101327474391713,0.2532213749946095,0.029804387258264762,2.980000000000002e-06,1.2500088939618228,1.2500088873396136,1.2500088816977115,1.2500088747756186,1.2500088680168824,1.2500088640941973,1.2500088650466856,1.2500088706117385,1.250008876730584,3.976958496386038e-06,0.2817574988975091,0.43404675401975845,0.5310677736777674,0.5987825593181939,0.6489272890045764,0.6876498157928947,0.7185038156674928,0.7436910466053832
3,0.038930692674081446,0.00410117519405518,0.003308667044620961,0.030275870875100606,4.960000000000007e-06,1.25001997452512,1.2500199637021836,1.25001995147363,1.2500199350938856,1.250019918550319,1.2500199079086818,1.250019907815899,1.2500199179890532,1.250019929950211,8.931791984829572e-06,0.2817624514846028,0.4340517036000895,0.531072719369842,0.5987875008837372,0.6489322270808258,0.6876547518501192,0.7185087515552336,0.7436910466053832
4,0.04048426033227995,0.004100961493807974,0.003296625043731183,0.031258202187114524,6.939999999999998e-06,1.2500354944380987,1.2500354813037415,1.25003546807681,1.250035449958797,1.2500354300213217,1.250035416052621,1.2500354149789896,1.2500354270954488,1.2500354414087957,1.5872593886291144e-05,0.28176939139837825,0.4340586431409345,0.5310796580450818,0.5987944380484227,0.6489391625532905,0.6876616861408186,0.7185156856008048,0.7436910466053832
5,0.03789964653642381,0.004100687947619383,0.0033244170481339097,0.029301022512378004,8.919999999999989e-06,1.2500554146454557,1.2500553820373024,1.2500553473462037,1.2500553111208743,1.250055279895998,1.2500552666224154,1.2500552807765268,1.2500553184448695,1.2500553547470823,2.4778386771503373e-05,0.2817782877641102,0.4340675298764257,0.5310885359163434,0.5988033088311117,0.6489480295877038,0.6876705539900002,0.7185245586311577,0.7436910466053832
6,0.04059583911164745,0.004100352735039795,0.0032468749559484422,0.031442610177932345,1.0899999999999994e-05,1.25007979783214,1.2500797494955938,1.2500796933573965,1.2500796430713383,1.25007960601621,1.2500795974272259,1.2500796278413195,1.250079689106232,1.2500797441438063,3.568105126075755e-05,0.2817891828091738,0.4340784163820921,0.5310994157246433,0.598814184063612,0.6489589031855901,0.6876814296139542,0.7185354395309344,0.7436910466053832
7,0.04003896582353075,0.004099956382791908,0.003189540992025286,0.030835297901719884,1.2879999999999999e-05,1.2501086256683753,1.2501085514422534,1.2501084706717096,1.2501084066272425,1.250108367780567,1.250108372799215,1.250108433644344,1.2501085365526154,1.250108627578816,4.857106698125888e-05,0.28180206086071935,0.4340912848786363,0.5311122773674374,0.598827041914063,0.6489717614048097,0.6876942931982288,0.71854831277427,0.7436910466053832
8,0.03860930946111598,0.00409950023404256,0.0032494590268470347,0.03073895990484138,1.4860000000000003e-05,1.250141907615932,1.2501417795373393,1.250141648646846,1.2501415437666759,1.2501414730962581,1.2501414590584983,1.250141515878669,1.2501416249356587,1.2501417177769925,6.34524854389028e-05,0.281816917156604,0.4341061223198601,0.5311270979180132,0.5988418477751659,0.6489865561491571,0.6877090817630775,0.7185631001170817,0.7436910466053832
9,0.039668586999732136,0.004098982084802365,0.003167124988976866,0.030627732133538057,1.6840000000000008e-05,1.250179592577149,1.2501794443694976,1.2501792915150052,1.2501791740740569,1.250179097253911,1.2501790837161653,1.2501791470022348,1.250179263093747,1.2501793529270189,8.030391031541053e-05,0.2818337591301147,0.4341229558735987,0.5311439250386328,0.59885867003417,0.6490033756117464,0.6877259009921984,0.7185799212031139,0.7436910466053832
