iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4
0,0.10122454603047792,0.04093939782925032,5.1650072247721255,,,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108,1.8873483400825108
1,0.1041613268825349,0.04093932309905071,1.5394265810027719,0.05601871198905178,9.999999999992654e-07,1.8873510883595457,1.8873510883588702,1.8873510883579003,1.88735108835607,1.8873510883507225
2,0.10813568455448866,0.04092429763660804,1.4859849798958749,0.057490816077681424,0.0002009799999999999,1.88790361450509,1.8879038312619139,1.887903855612942,1.88790387689707,1.8879038951302982
3,0.1034159493766679,0.04089436892616243,0.012115099001675844,0.05539314328865861,0.0004009599999999988,1.889004894285229,1.8890055453213122,1.8890057863876102,1.8890059051646377,1.8890059734037383
4,0.0968869949274913,0.040849676953372355,0.011742305010557175,0.05352462211724246,0.0006009399999999995,1.890652801264515,1.8906533499960008,1.890653206543289,1.8906528698380658,1.8906524862168514
5,0.1065563861843642,0.04079008045751184,0.01209566998295486,0.05679364768987069,0.0008009199999999984,1.8928534863646618,1.8928542405766169,1.8928540249979278,1.8928534294823582,1.8928527255010743
6,0.10509300876683586,0.04071566057313106,0.012098802020773292,0.056635104782011156,0.001000899999999999,1.8956078803579561,1.895608748721441,1.895608495114621,1.8956076328862026,1.8956065764939587
7,0.08969325061763143,0.040627124018165185,0.011981744086369872,0.050103601330625365,0.0012008799999999997,1.8988963546553312,1.8988963896612348,1.8988944320491485,1.898891776665092,1.8988889789603351
8,0.09523902095617555,0.04052438763321748,0.01253310008905828,0.05207248865901219,0.0014008600000000003,1.9027296262557216,1.9027231421852508,1.9027184557419077,1.9027133015573006,1.9027081980845553
9,0.09093521185930456,0.040407759782603615,0.013216996099799871,0.05062665529792771,0.0016008399999999992,1.9071027638098523,1.9070839183642312,1.9070744709353218,1.9070655779421015,1.9070571805698546
10,0.10223640377450144,0.0402766176801257,0.012760159093886614,0.05392452481571267,0.0018008199999999981,1.9120325100292197,1.912007413684421,1.9119956342238198,1.9119844048206525,1.9119737017834812
11,0.10304903478520702,0.040130967054132716,0.013073504902422428,0.05560610930982034,0.0020007999999999988,1.9175318600784983,1.9175010902280707,1.9174876239016871,1.9174745885098106,1.917461997668016
12,0.09617658712103566,0.03997154051066857,0.013054356211796403,0.05284811668440279,0.0022007799999999994,1.923586314720494,1.9235480467880381,1.9235305461721792,1.923513643120908,1.9234974460957008
13,0.09468628344955393,0.039798624935342954,0.01335950312204659,0.0517113632322285,0.002400759999999999,1.930189048100505,1.9301470962039846,1.930123785995091,1.9301012615390531,1.9300799042759629
14,0.11205374285096624,0.03961104825868007,0.01307285693474114,0.05803171180918366,0.00260074,1.93739238411568,1.9373466570926294,1.937321038698185,1.9372957232375745,1.937271722754661
15,0.10043276083414417,0.039410038121654084,0.013229764997959137,0.05498892593759077,0.0028007199999999996,1.9451770985284331,1.9451134770626242,1.945082273308027,1.945052532849152,1.9450249302234286
